书号_x0000__x0000_,商品名称_x0000__x0000__x0000__x0000_,定价名称,总订数称_x0000__x0000_,码洋数称,出版社称_x0000__x0000_,编码社称
9787500795476,永远的玛利亚(美绘版)--中国当代儿童文学名家丛书卷名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,24.80,1,24.8,中国少年0亚(美,75007954700024800000
9787500797166,吹牛大王历险记--最能打动孩子心灵的世界经典童话书卷名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,25.00,1,25,中国少年0险记-,75007971600025000000
9787500785767,2000-2006年全国优秀儿童文学精选集美绘版--童话卷贰版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,23.00,1,23,中国少年0200,75007857600023000000
9787514806267,少年野外大探险3--被动较量000000集美绘版-,18.00,1,18,少年儿童0探险3,75148062600018000000
9787500798521,杨梅--儿童文学金牌作家书系000000集美绘版--,19.00,1,19,中国少年0童文学,75007985200019000000
9787514801729,头羊草原动物系列01729900,8.00,1,8,少年儿童动物系列,75148017200008000000
9787500795568,少年特种兵Ⅵ终极交锋5688000000,18.00,1,18,中国少年0Ⅵ终极,75007955600018000000
9787500797098,(上下册)萝铃的魔力第二部墨夷家族--儿童文学版--童话卷贰版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,30.00,1,30,中国少年0萝铃的,75007970900030000000
9787514803969,小布头和朵朵(美绘版)--小布头的新奇遇童文学版--童话卷贰版]_x0000__x0000__x0000__x0000_,29.00,1,29,少年儿童0朵(美,75148039600029000000
9787500798569,叶圣陶儿童文学选集(美绘版)童话散文卷--大师儿童文学书系贰版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,25.00,1,25,中国少年0文学选,75007985600025000000
9787514805239,失落的天珠Ⅰ--古洞奇遇记5000000-大师儿,10.00,1,10,少年儿童0Ⅰ--,75148052300010000000
9787500798149,隐身小托尼历险记-罗大里经典作品0000-大师儿童文学书系贰版,15.00,1,15,中国少年0历险记,75007981400015000000
9787514801255,我的小学向前冲--健康故事5000000-大师儿,18.00,1,18,少年儿童0前冲-,75148012500018000000
9787514801606,三百千--中国古典文学名著白话(美绘版)-大师儿童文学书系贰版]_x0000__x0000__x0000__x0000_,19.00,1,19,少年儿童0中国古,75148016000019000000
9787500793601,象群迁移的时候--儿童文学典藏书库000-大师儿童文学书系贰版],18.00,1,18,中国少年0时候-,75007936000018000000
9787500793052,花舍邮局(薛涛作品坊卷一纯美读本)--儿童文学金牌作家书系贰版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,18.00,1,18,中国少年0薛涛作,75007930500018000000
9787500794769,丁丁与丛林战士--丁丁历险记.埃及热00童文学金牌作家书系贰版]_x0000_,20.00,1,20,中国少年0战士-,75007947600020000000
9787514805215,神奇的鸟叔叔--霞子纪实童话系列0000童文学金牌作家书系贰,19.80,1,19.8,少年儿童0叔--,75148052100019800000
9787514806588,穿越郑和年间4麦加城--时光定位位钟系列童文学金牌作家书系贰版]_x0000__x0000__x0000__x0000__x0000_,14.00,1,14,少年儿童0间4麦,75148065800014000000
9787500789789,e班之长--小鬼喜当家系列4000000童文学,13.80,1,13.8,中国少年0-小鬼,75007897800013800000
9787500789079,战国故事--中国历史故事集3800000童文学金,21.50,1,21.5,中国少年0-中国,75007890700021500000
9787500799658,少年特种兵Ⅺ域外战场6581500000,18.00,1,18,中国少年0Ⅺ域外,75007996500018000000
9787811270426,亚洲传媒研究127042,38.00,1,38,中国传媒0究12,78112704200038000000
9787500789918,獒魔黑侠--皮皮和神秘动物8000000童文学金,12.80,1,12.8,中国少年0-皮皮,75007899100012800000
9787020088829,斑点绳子案--福尔摩斯探案全集.少儿版7童文学金牌作家书系贰版]_x0000__x0000__x0000__x0000_,18.00,1,18,人民文学0--福,70200888200018000000
